user_id,channel,feedback_date,feedback_text,user_role,firm_size,months_subscribed,monthly_queries,avg_session_duration_min,case_types_handled
U14276,feedback_form,2024-08-30,Automated demand letter generation saves hours but needs industry-specific templates. Insurance companies expect certain formatting and language conventions.,attorney,large,25,578,18.6,"insurance_defense,personal_injury"
U13385,feedback_form,2024-08-31,"Document redaction AI saves hours of manual work. Automatically identifies and masks PII, medical info, and privileged communications. Accuracy rate seems very high.",paralegal,medium,19,367,12.4,"medical_malpractice,personal_injury"
U15266,feedback_form,2024-08-31,Overall Case Companion has transformed our practice efficiency. ROI calculation shows 300% return in first year through time savings and better case outcomes. Highly recommend!,attorney,medium,21,523,24.2,"practice_management,efficiency_optimization"
U12412,bug_report,2024-09-01,Medical records analysis feature gives error when processing handwritten notes. OCR seems to struggle with doctor handwriting (understandable!) but should handle more gracefully.,paralegal,medium,5,198,11.4,"medical_malpractice,personal_injury"
U14309,phone_call,2024-09-01,"Expert witness matching algorithm is brilliant. Considers case type, budget, geographic location, and past testimony success rates. Found perfect biomechanics expert!",attorney,small,9,345,17.8,"product_liability,auto_accident"
U13418,slack,2024-09-02,Settlement demand calculator produces inaccurate results when same information entered in different order. The inconsistent outputs show incorrect calculation logic.,attorney,large,26,645,27.3,"class_action,mass_tort"
U12445,feedback_form,2024-09-02,Billing breakdown analysis saves hours of manual calculation work. Nice to see ROI on different case types without spending half a day with spreadsheets.,attorney,small,15,423,17.9,"auto_accident,slip_and_fall,premises_liability"
U12478,slack,2024-09-03,Expert witness database has inaccurate contact information. Found three experts whose firms they left years ago but system shows incorrect current employment.,paralegal,large,11,234,8.9,"workers_comp,personal_injury"
U14342,bug_report,2024-09-03,Case summary generator creates reports with incorrect medical terminology. Confuses 'cervical' with 'cerebral' and other similar-sounding terms. Dangerous for client communications.,paralegal,medium,6,189,9.7,"medical_malpractice,personal_injury"
U12501,phone_call,2024-09-04,Client communication templates generated by AI are professional and empathetic. Saves time and ensures consistent messaging. Clients appreciate the clear explanations of legal processes.,attorney,medium,6,312,14.7,"auto_accident,medical_malpractice"
U13451,phone_call,2024-09-04,Witness statement analysis AI is incredible. It cross-references all statements and flags inconsistencies automatically. Found contradictions that took me weeks to spot manually.,attorney,small,8,298,16.2,"premises_liability,auto_accident"
U12534,feedback_form,2024-09-05,Voice-to-text feature is highly inaccurate with legal terminology. Keeps transcribing 'negligence' as 'negligents' and 'tort' as 'torte'. Needs legal dictionary training.,case_manager,large,19,445,16.2,multi_case_types
U14375,feedback_form,2024-09-05,Jury instruction database is comprehensive and includes recent appellate decisions on standard instructions. Helps craft more persuasive and legally sound jury charges.,attorney,medium,20,512,22.4,"trial_practice,personal_injury,medical_malpractice"
U12567,bug_report,2024-09-06,Expert witness database search returns outdated contact info. Found three experts whose firms they left years ago. Please update database or add verification dates.,attorney,medium,13,267,12.8,"product_liability,medical_malpractice"
U13484,feedback_form,2024-09-06,Need better templates for demand letters in product liability cases. Current templates are too generic and don't address complex manufacturing defect theories adequately.,attorney,medium,11,334,14.5,"product_liability,mass_tort"
U14408,slack,2024-09-07,lien resolution tracker is super helpful for Medicare and insurance liens. automatically calculates reductions and tracks paperwork. saves tons of settlement delay,case_manager,large,27,634,21.2,"personal_injury,auto_accident,workers_comp"
U12598,phone_call,2024-09-07,Document redaction AI saves hours of manual work. Automatically identifies and masks sensitive information - what used to take a full day now takes 30 minutes.,attorney,small,2,189,13.4,"auto_accident,premises_liability"
U12623,slack,2024-09-08,Expert witness cost calculator provides wildly inaccurate estimates for specialized fields. Quoted $500/hour for biomechanical engineer when accurate market rate is $800-1200/hour.,attorney,large,28,756,28.9,"class_action,product_liability,medical_malpractice"
U13517,bug_report,2024-09-08,Statute of limitations tracker provides incorrect deadlines for maritime injury cases. It defaults to wrong timeframes instead of accurate Jones Act provisions.,paralegal,large,16,445,13.1,"auto_accident,premises_liability,workers_comp"
U12656,feedback_form,2024-09-09,Training materials are excellent but would benefit from more video tutorials. Written guides are comprehensive but visual learners on our team struggle with text-heavy documentation.,paralegal,medium,3,123,7.6,"personal_injury,auto_accident"
U14441,phone_call,2024-09-09,Client outcome prediction model helps set realistic expectations during initial consultations. Clients appreciate honest assessments based on data rather than false hope.,attorney,small,12,378,16.5,"personal_injury,slip_and_fall,auto_accident"
